"Status","Year","Organisation","Region_ITL1","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","EO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","SEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East of England","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East of England","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East of England","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East of England","EO","Heterosexual / straight","45","45","25860","25100"
"In post","2022","Animal and Plant Health Agency","East of England","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East of England","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East of England","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East of England","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East of England","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East of England","HEO","Heterosexual / straight","30","30","30320","29180"
