"Status","Year","Ethnicity","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Asian","Office of Rail and Road","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Office of Rail and Road","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Office of the Public Guardian","Ministry of Justice","Outside London","45","[c]","22930","20970"
"Leaver Dept.","2022","Asian","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Public Health England","Department of Health and Social Care","London","510","[c]","42470","33950"
"Leaver Dept.","2022","Asian","Public Health England","Department of Health and Social Care","Outside London","295","[c]","38770","28590"
"Leaver Dept.","2022","Asian","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Registers of Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Royal Fleet Auxiliary","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Scottish Courts and Tribunals Service","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Scottish Forestry","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Scottish Forestry","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Scottish Government (excl. agencies)","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Serious Fraud Office","Attorney General's Departments","London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Social Security Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Standards and Testing Agency","Department for Education","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Standards and Testing Agency","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Student Awards Agency for Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Submarine Delivery Agency","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Teaching Regulation Agency","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","The Insolvency Service","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","The National Archives","The National Archives","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Transport Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","UK Export Finance","UK Export Finance","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","UK Health Security Agency","Department of Health and Social Care","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","UK Health Security Agency","Department of Health and Social Care","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","UK Hydrographic Office","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","UK Statistics Authority","UK Statistics Authority","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","UK Statistics Authority","UK Statistics Authority","Outside London","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Valuation Office Agency","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Valuation Office Agency","HM Revenue and Customs","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Vehicle Certification Agency","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Water Services Regulation Authority","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Welsh Government (excl. agencies)","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Welsh Revenue Authority","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Wilton Park","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Attorney General's Office","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Cabinet Office (excl. agencies)","Cabinet Office","London","45","[c]","42170","36760"
"Leaver Dept.","2022","Black","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Charity Commission","Charity Commission","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Charity Commission","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Companies House","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Competition and Markets Authority","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Competition and Markets Authority","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Crown Commercial Service","Cabinet Office","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Crown Commercial Service","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Crown Commercial Service","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Crown Prosecution Service","Attorney General's Departments","London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Crown Prosecution Service","Attorney General's Departments","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Defence Equipment and Support","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Defence Equipment and Support","Ministry of Defence","Outside London","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Defence Equipment and Support","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","London","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department for Education (excl. agencies)","Department for Education","London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department for Education (excl. agencies)","Department for Education","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department for International Trade","Department for International Trade","London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department for International Trade","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","London","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department for Transport (excl. agencies)","Department for Transport","London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department for Transport (excl. agencies)","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","London","90","[c]","32560","31060"
"Leaver Dept.","2022","Black","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Outside London","115","[c]","27370","27570"
"Leaver Dept.","2022","Black","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Disclosure Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Driver and Vehicle Licensing Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Driver and Vehicle Standards Agency","Department for Transport","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Driver and Vehicle Standards Agency","Department for Transport","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Education and Skills Funding Agency","Department for Education","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Education and Skills Funding Agency","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Estyn","Estyn","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","FCDO Services","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Food Standards Agency","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Food Standards Agency","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Food Standards Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Forestry and Land Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Forestry and Land Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Government Actuary's Department","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Government Internal Audit Agency","HM Treasury","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Government Internal Audit Agency","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Government Legal Department","Attorney General's Departments","London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Government Property Agency","Cabinet Office","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Government Property Agency","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Health and Safety Executive","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Health and Safety Executive","Department for Work and Pensions","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","HM Courts and Tribunals Service","Ministry of Justice","London","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","HM Courts and Tribunals Service","Ministry of Justice","Outside London","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","HM Courts and Tribunals Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","HM Prison and Probation Service","Ministry of Justice","London","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","HM Prison and Probation Service","Ministry of Justice","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","HM Prison and Probation Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","London","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Outside London","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","HM Treasury (excl. agencies)","HM Treasury","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","HM Treasury (excl. agencies)","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Home Office","Home Office","London","60","[c]","37780","35070"
"Leaver Dept.","2022","Black","Home Office","Home Office","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Home Office","Home Office","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Institute for Apprenticeships and Technical Education","Department for Education","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Institute for Apprenticeships and Technical Education","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Legal Aid Agency","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Legal Aid Agency","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Maritime and Coastguard Agency","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Met Office","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Met Office","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Ministry of Defence (excl. agencies)","Ministry of Defence","London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Ministry of Defence (excl. agencies)","Ministry of Defence","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Ministry of Defence (excl. agencies)","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Ministry of Justice (excl. agencies)","Ministry of Justice","London","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Ministry of Justice (excl. agencies)","Ministry of Justice","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","National Crime Agency","National Crime Agency","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","National Crime Agency","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","National Crime Agency","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","National Infrastructure Commission","HM Treasury","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","National Records of Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","National Savings and Investments","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Northern Ireland Office","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Northern Ireland Office","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Office for Budget Responsibility","HM Treasury","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Office of Rail and Road","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Office of Rail and Road","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Office of the Public Guardian","Ministry of Justice","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Public Health England","Department of Health and Social Care","London","310","[c]","38590","32330"
"Leaver Dept.","2022","Black","Public Health England","Department of Health and Social Care","Outside London","180","[c]","39750","33780"
"Leaver Dept.","2022","Black","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Registers of Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Royal Fleet Auxiliary","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Scottish Courts and Tribunals Service","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Scottish Forestry","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Scottish Forestry","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Scottish Government (excl. agencies)","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Serious Fraud Office","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Social Security Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Standards and Testing Agency","Department for Education","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Standards and Testing Agency","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Student Awards Agency for Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Submarine Delivery Agency","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Teaching Regulation Agency","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","The Insolvency Service","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","The National Archives","The National Archives","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Transport Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","UK Export Finance","UK Export Finance","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","UK Health Security Agency","Department of Health and Social Care","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","UK Health Security Agency","Department of Health and Social Care","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","UK Hydrographic Office","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","UK Statistics Authority","UK Statistics Authority","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","UK Statistics Authority","UK Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Valuation Office Agency","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Valuation Office Agency","HM Revenue and Customs","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Vehicle Certification Agency","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Water Services Regulation Authority","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Welsh Government (excl. agencies)","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Welsh Revenue Authority","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Wilton Park","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Attorney General's Office","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Cabinet Office (excl. agencies)","Cabinet Office","London","30","[c]","40860","34550"
"Leaver Dept.","2022","Mixed","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Charity Commission","Charity Commission","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Charity Commission","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Companies House","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Competition and Markets Authority","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Competition and Markets Authority","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Crown Commercial Service","Cabinet Office","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Crown Commercial Service","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Crown Commercial Service","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Crown Prosecution Service","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Crown Prosecution Service","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Defence Equipment and Support","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Defence Equipment and Support","Ministry of Defence","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Defence Equipment and Support","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","25","[c]","[c]","[c]"
