"Status","Year","Age","Ethnicity","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","East Midlands (England)","Leicester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Midlands (England)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Midlands (England)","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Midlands (England)","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Midlands (England)","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Midlands (England)","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Midlands (England)","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East of England","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East of England","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East of England","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East of England","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East of England","Peterborough","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East of England","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East of England","Thurrock","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","London","Barnet","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","London","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","London","Brent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","London","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","London","Croydon","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","London","Enfield","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","London","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","London","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","London","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","London","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","London","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","London","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","London","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","London","Westminster","15","15","[c]","[c]"
"In post","2022","16-19","Asian","North East (England)","Durham","[c]","[c]","[c]","[c]"
