"Status","Year","Age","Region_ITL2","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Bedfordshire and Hertfordshire","Outside London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","15","15","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","25","25","[c]","[c]"
"In post","2022","16-19","Cheshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cheshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","Outside London","Female","15","15","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","Outside London","Male","10","10","[c]","[c]"
"In post","2022","16-19","Devon","Outside London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Devon","Outside London","Male","20","20","[c]","[c]"
"In post","2022","16-19","Dorset and Somerset","Outside London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Dorset and Somerset","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Anglia","Outside London","Female","20","20","[c]","[c]"
"In post","2022","16-19","East Anglia","Outside London","Male","10","10","[c]","[c]"
"In post","2022","16-19","East Wales","Outside London","Female","20","20","[c]","[c]"
"In post","2022","16-19","East Wales","Outside London","Male","30","30","20030","20100"
"In post","2022","16-19","East Wales","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Yorkshire and Northern Lincolnshire","Outside London","Female","5","5","[c]","[c]"
"In post","2022","16-19","East Yorkshire and Northern Lincolnshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Eastern Scotland","Outside London","Female","30","30","22150","21250"
"In post","2022","16-19","Eastern Scotland","Outside London","Male","30","30","[c]","[c]"
"In post","2022","16-19","Essex","Outside London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Essex","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","45","45","20050","19810"
"In post","2022","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","95","95","19050","18030"
"In post","2022","16-19","Greater Manchester","Outside London","Female","35","35","22660","21260"
"In post","2022","16-19","Greater Manchester","Outside London","Male","25","25","[c]","[c]"
"In post","2022","16-19","Hampshire and Isle of Wight","Outside London","Female","10","10","[c]","[c]"
"In post","2022","16-19","Hampshire and Isle of Wight","Outside London","Male","25","25","[c]","[c]"
"In post","2022","16-19","Herefordshire, Worcestershire and Warwickshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Herefordshire, Worcestershire and Warwickshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Highlands and Islands","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Highlands and Islands","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Inner London - East","London","Female","15","15","[c]","[c]"
"In post","2022","16-19","Inner London - East","London","Male","5","5","[c]","[c]"
"In post","2022","16-19","Inner London - West","London","Female","50","50","25540","25110"
