"Status","Year","Ethnicity","Organisation","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Accountant in Bankruptcy","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Greater Manchester","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Inner London - West","London","25","25","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","West Midlands","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","West Yorkshire","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","North Yorkshire","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Outer London - West and North West","London","5","5","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Surrey, East and West Sussex","Outside London","40","35","31260","29010"
"In post","2022","Asian","Animal and Plant Health Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Greater Manchester","Outside London","15","15","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Inner London - East","London","115","115","49910","54700"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Inner London - West","London","320","315","46140","40600"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","North Yorkshire","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Northumberland, and Tyne and Wear","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Unknown","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","West Central Scotland","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","West Midlands","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","West Yorkshire","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Inner London - West","London","5","5","[c]","[c]"
"In post","2022","Asian","Charity Commission","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","East Wales","Outside London","25","25","[c]","[c]"
"In post","2022","Asian","Companies House","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Inner London - East","London","110","110","48930","42290"
"In post","2022","Asian","Competition and Markets Authority","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
