"Status","Year","Age","Region_ITL2","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Bedfordshire and Hertfordshire","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Female","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cheshire","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cheshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cheshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cheshire","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cheshire","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cheshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cheshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cheshire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cheshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cheshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","Female","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Devon","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Devon","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon","Male","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Devon","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Dorset and Somerset","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Dorset and Somerset","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Dorset and Somerset","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Dorset and Somerset","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Dorset and Somerset","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Dorset and Somerset","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Dorset and Somerset","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Dorset and Somerset","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Dorset and Somerset","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Dorset and Somerset","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Anglia","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","East Anglia","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Anglia","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Anglia","Female","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","East Anglia","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","East Anglia","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Anglia","Male","Undeclared","[c]","[c]","[c]","[c]"
