"Status","Year","Age","Region_ITL2","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Bedfordshire and Hertfordshire","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Female","10","10","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Female","5","5","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Male","20","20","[c]","[c]"
"In post","2022","16-19","Cheshire","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cheshire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","AA/AO","Female","15","15","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Devon","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Devon","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon","EO","Male","[c]","[c]","[c]","[c]"
