"Status","Year","Age","Ethnicity","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Devon","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Essex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Greater Manchester","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Inner London - East","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Inner London - West","15","15","[c]","[c]"
"In post","2022","16-19","Asian","Kent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Lancashire","10","10","[c]","[c]"
"In post","2022","16-19","Asian","Leicestershire, Rutland and Northamptonshire","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","West Midlands","10","10","[c]","[c]"
"In post","2022","16-19","Asian","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","West Yorkshire","20","20","[c]","[c]"
"In post","2022","16-19","Black","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Cheshire","[c]","[c]","[c]","[c]"
