"Status","Year","Organisation","Region_ITL1","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scotland","AA/AO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","EO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","EO","Unknown","10","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","SEO/HEO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","SEO/HEO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","EO","Unknown","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","Heterosexual / straight","80","75","41550","39120"
