"Status","Year","Ethnicity","Parent_department","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Yorkshire and The Humber","South Yorkshire","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Yorkshire and The Humber","West Yorkshire","50","45","44750","48080"
"In post","2022","Asian","Cabinet Office","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","London","Inner London - East","125","125","50980","54700"
"In post","2022","Asian","Cabinet Office","London","Inner London - West","325","320","46200","40600"
"In post","2022","Asian","Cabinet Office","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","North East (England)","Northumberland, and Tyne and Wear","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","North West (England)","Greater Manchester","20","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","North West (England)","Merseyside","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Scotland","West Central Scotland","5","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","5","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Unknown","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","West Midlands (England)","West Midlands","30","30","33540","32000"
"In post","2022","Asian","Cabinet Office","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Yorkshire and The Humber","North Yorkshire","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Yorkshire and The Humber","West Yorkshire","5","5","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","London","Inner London - West","55","50","47300","45130"
"In post","2022","Asian","Chancellor's other departments","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","London","Inner London - West","5","5","[c]","[c]"
"In post","2022","Asian","Charity Commission","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","London","Inner London - East","110","110","48930","42290"
"In post","2022","Asian","Competition and Markets Authority","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Derbyshire and Nottinghamshire","10","10","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","London","Inner London - East","40","35","32430","29320"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","London","Inner London - West","595","590","44380","40050"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","London","Outer London - South","10","5","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","London","Outer London - West and North West","10","10","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","North West (England)","Greater Manchester","35","35","35210","30950"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","5","5","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","South West (England)","Devon","25","25","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Wales","East Wales","60","60","31790","30530"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","West Midlands (England)","West Midlands","120","115","30390","28560"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","West Yorkshire","10","10","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","London","Inner London - West","145","145","44740","39020"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","North West (England)","Greater Manchester","10","10","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","East Midlands (England)","Derbyshire and Nottinghamshire","30","30","[c]","[c]"
"In post","2022","Asian","Department for Education","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","East of England","Bedfordshire and Hertfordshire","5","5","[c]","[c]"
"In post","2022","Asian","Department for Education","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","London","Inner London - West","280","270","44410","40780"
"In post","2022","Asian","Department for Education","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","London","Outer London - South","10","10","[c]","[c]"
"In post","2022","Asian","Department for Education","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","North East (England)","Tees Valley and Durham","15","15","[c]","[c]"
"In post","2022","Asian","Department for Education","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","North West (England)","Greater Manchester","120","120","35720","30320"
"In post","2022","Asian","Department for Education","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","10","10","[c]","[c]"
"In post","2022","Asian","Department for Education","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","West Midlands (England)","West Midlands","275","270","37560","36500"
"In post","2022","Asian","Department for Education","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","Yorkshire and The Humber","South Yorkshire","85","85","36870","32300"
"In post","2022","Asian","Department for Education","Yorkshire and The Humber","West Yorkshire","15","15","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","East Midlands (England)","Derbyshire and Nottinghamshire","15","15","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","East of England","East Anglia","10","10","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","London","Inner London - West","220","215","39830","34830"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","London","Outer London - West and North West","5","5","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","North East (England)","Northumberland, and Tyne and Wear","10","10","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","North West (England)","Cheshire","10","10","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","North West (England)","Lancashire","5","5","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","35","30","29390","23110"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","South East (England)","Surrey, East and West Sussex","60","60","34870","32560"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","South West (England)","Devon","5","5","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","10","5","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","West Midlands (England)","West Midlands","15","15","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","North Yorkshire","15","15","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","West Yorkshire","5","5","[c]","[c]"
"In post","2022","Asian","Department for International Trade","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","London","Inner London - West","255","250","43900","38540"
"In post","2022","Asian","Department for International Trade","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Overseas","Overseas","10","10","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","London","Inner London - West","215","210","44210","39600"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
