"Status","Year","Disability","Profession_of_post","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","Bedfordshire and Hertfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Bedfordshire and Hertfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Bedfordshire and Hertfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cheshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cheshire","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Derbyshire and Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Derbyshire and Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Devon","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Devon","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Devon","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
