"Status","Year","Organisation","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Unknown","AA/AO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","EO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","EO","Unknown","10","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","SEO/HEO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
