"Status","Year","Age","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","AO","Heterosexual / straight","5","5","[c]","[c]"
