"Status","Year","Age","Disability","Ethnicity","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","White","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","South West (England)","10","10","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","East Midlands (England)","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","London","25","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","North West (England)","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","South West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","Yorkshire and The Humber","20","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","London","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Scotland","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","South West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","White","East Midlands (England)","20","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","White","East of England","20","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","White","London","50","50","25040","24330"
"In post","2022","16-19","Declared non-disabled","White","North East (England)","30","30","21780","21260"
"In post","2022","16-19","Declared non-disabled","White","North West (England)","70","70","22510","21260"
"In post","2022","16-19","Declared non-disabled","White","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","White","Scotland","60","55","21630","21250"
"In post","2022","16-19","Declared non-disabled","White","South East (England)","65","65","22200","21670"
"In post","2022","16-19","Declared non-disabled","White","South West (England)","80","80","20060","19460"
"In post","2022","16-19","Declared non-disabled","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","White","Wales","65","60","20390","19620"
"In post","2022","16-19","Declared non-disabled","White","West Midlands (England)","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","White","Yorkshire and The Humber","35","35","21870","21260"
"In post","2022","16-19","Undeclared","Asian","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other ethnicity","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other ethnicity","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other ethnicity","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other ethnicity","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other ethnicity","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other ethnicity","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other ethnicity","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other ethnicity","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other ethnicity","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other ethnicity","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other ethnicity","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","White","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","White","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","White","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","White","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","White","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","White","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","White","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","White","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","White","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","White","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","White","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","White","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Asian","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Asian","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Asian","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Asian","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Asian","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Asian","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Asian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Asian","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Asian","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Asian","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Asian","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Black","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Black","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Black","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Black","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Black","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Black","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Black","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Black","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Black","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Black","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Black","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Mixed","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Mixed","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Mixed","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Mixed","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Mixed","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Mixed","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Mixed","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Mixed","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Mixed","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Mixed","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Mixed","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Mixed","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other ethnicity","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other ethnicity","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other ethnicity","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other ethnicity","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other ethnicity","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other ethnicity","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other ethnicity","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other ethnicity","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other ethnicity","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other ethnicity","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other ethnicity","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Undeclared","Wales","[c]","[c]","[c]","[c]"
